iter	Passed	Remaining
0	16	24378
1	28	21493
2	39	19763
3	51	19100
4	62	18544
5	72	18170
6	84	17941
7	96	17948
8	108	18015
9	122	18204
10	135	18319
11	147	18350
12	160	18355
13	172	18344
14	185	18322
15	197	18320
16	209	18271
17	221	18253
18	233	18239
19	245	18142
20	255	18029
21	265	17868
22	275	17719
23	286	17634
24	297	17576
25	308	17463
26	318	17363
27	328	17250
28	338	17163
29	348	17061
30	358	16966
31	367	16878
32	378	16806
33	388	16742
34	398	16683
35	408	16612
36	418	16543
37	428	16476
38	438	16426
39	448	16365
40	458	16321
41	468	16264
42	478	16210
43	488	16172
44	498	16124
45	508	16081
46	518	16032
47	528	15986
48	538	15950
49	548	15906
50	560	15920
51	573	15971
52	587	16032
53	600	16075
54	612	16101
55	625	16127
56	636	16104
57	646	16068
58	656	16029
59	666	15990
60	676	15952
61	686	15917
62	696	15887
63	707	15867
64	718	15857
65	730	15861
66	740	15836
67	750	15812
68	760	15779
69	771	15767
70	782	15743
71	792	15708
72	802	15685
73	812	15658
74	822	15631
75	832	15606
76	842	15575
77	852	15544
78	863	15527
79	873	15501
80	883	15482
81	894	15462
82	903	15431
83	913	15406
84	924	15385
85	934	15358
86	943	15331
87	953	15304
88	963	15278
89	973	15257
90	983	15230
91	993	15209
92	1003	15185
93	1013	15160
94	1023	15141
95	1033	15118
96	1043	15093
97	1053	15070
98	1074	15203
99	1090	15262
100	1103	15290
101	1117	15314
102	1131	15343
103	1144	15363
104	1159	15398
105	1173	15436
106	1185	15435
107	1197	15432
108	1212	15470
109	1225	15481
110	1238	15503
111	1254	15548
112	1272	15613
113	1284	15617
114	1297	15626
115	1312	15655
116	1324	15653
117	1336	15651
118	1348	15647
119	1361	15652
120	1374	15668
121	1389	15695
122	1403	15715
123	1416	15719
124	1429	15720
125	1442	15729
126	1456	15748
127	1470	15766
128	1486	15793
129	1498	15788
130	1510	15781
131	1522	15779
132	1535	15778
133	1547	15774
134	1559	15771
135	1571	15762
136	1583	15751
137	1594	15739
138	1607	15739
139	1620	15741
140	1633	15745
141	1646	15744
142	1658	15740
143	1671	15743
144	1691	15810
145	1710	15863
146	1731	15932
147	1749	15984
148	1763	15986
149	1777	15998
150	1791	16006
151	1804	16006
152	1817	16005
153	1831	16006
154	1844	16005
155	1857	16003
156	1872	16016
157	1885	16014
158	1898	16013
159	1911	16011
160	1925	16011
161	1937	16005
162	1950	15995
163	1963	15991
164	1976	15990
165	1990	15994
166	2005	16004
167	2019	16008
168	2032	16004
169	2044	15996
170	2058	15998
171	2072	15998
172	2085	15998
173	2098	15992
174	2111	15990
175	2124	15982
176	2137	15978
177	2150	15969
178	2163	15964
179	2176	15960
180	2188	15947
181	2199	15928
182	2211	15912
183	2222	15894
184	2233	15879
185	2248	15885
186	2263	15894
187	2277	15890
188	2290	15886
189	2303	15882
190	2316	15875
191	2329	15870
192	2342	15864
193	2354	15853
194	2367	15844
195	2379	15830
196	2391	15815
197	2402	15800
198	2414	15785
199	2426	15771
200	2439	15763
201	2451	15750
202	2463	15736
203	2475	15723
204	2486	15705
205	2499	15700
206	2512	15694
207	2525	15687
208	2538	15679
209	2552	15676
210	2565	15673
211	2579	15668
212	2591	15657
213	2603	15647
214	2616	15639
215	2630	15636
216	2644	15632
217	2657	15629
218	2669	15616
219	2681	15602
220	2693	15586
221	2705	15573
222	2718	15566
223	2731	15561
224	2744	15552
225	2757	15546
226	2771	15540
227	2783	15527
228	2795	15516
229	2814	15541
230	2830	15548
231	2843	15540
232	2856	15533
233	2869	15522
234	2881	15513
235	2894	15503
236	2907	15493
